time,field_x,field_y,field_z
272279000000,-8.0,-10.0,0.0
272319000000,-8.0,-10.0,0.0
272320000000,-8.0,-10.0,0.0
272330000000,-8.0,-10.0,0.0
272358000000,-8.0,-10.0,0.0
272408000000,-8.0,-10.0,0.0
272453000000,-8.0,-10.0,0.0
272502000000,-8.0,-10.0,0.0
272544000000,-8.0,-10.0,0.0
272550000000,-8.0,-10.0,0.0
272562000000,-8.0,-10.0,0.0
272590000000,-8.0,-10.0,0.0
272636000000,-8.0,-10.0,0.0
272685000000,-8.0,-10.0,0.0
272721000000,-8.5,-10.0,0.0
272729000000,-8.5,-10.0,0.0
272744000000,-8.5,-10.0,0.0
272776000000,-8.5,-10.0,0.0
272820000000,-8.5,-10.0,0.0
272856000000,-8.5,-10.5,0.0
272897000000,-8.5,-11.0,0.0
272933000000,-8.5,-11.0,0.0
272972000000,-9.0,-12.0,0.0
273012000000,-9.0,-13.0,0.0
273020000000,-9.0,-13.0,0.0
273027000000,-9.0,-14.0,0.0
273054000000,-9.0,-14.0,0.0
273087000000,-8.5,-15.0,0.0
273138000000,-8.5,-16.0,0.0
273191000000,-8.5,-16.0,0.0
273198000000,-8.5,-16.0,0.0
273202000000,-8.5,-16.0,0.0
273232000000,-8.5,-16.0,0.0
273273000000,-8.5,-15.5,0.0
273316000000,-9.0,-15.0,0.0
273362000000,-9.0,-13.5,0.0
273402000000,-9.0,-13.0,0.0
273430000000,-9.0,-12.0,0.0
273444000000,-9.0,-12.0,0.0
273450000000,-9.0,-12.0,0.0
273482000000,-9.0,-11.0,0.0
273533000000,-9.0,-9.5,0.0
273578000000,-9.0,-9.0,0.0
273606000000,-9.0,-7.5,0.0
273612000000,-9.0,-7.5,0.0
273624000000,-9.0,-6.0,0.0
273657000000,-9.0,-4.5,0.0
273693000000,-9.0,-3.0,0.0
273720000000,-9.0,-3.0,0.0
273766000000,-9.0,-0.5,0.0
273807000000,-9.0,0.0,0.0
273852000000,-9.0,1.0,0.0
273892000000,-9.0,1.0,0.0
273937000000,-9.0,1.0,0.0
273987000000,-9.0,0.5,0.0
274028000000,-9.0,-1.0,0.0
274062000000,-9.0,-2.0,0.0
274072000000,-9.0,-2.0,0.0
274078000000,-9.0,-2.0,0.0
274119000000,-9.0,-3.0,0.0
274153000000,-9.0,-4.0,0.0
274191000000,-9.0,-6.0,0.0
274195000000,-9.0,-6.0,0.0
274197000000,-9.0,-6.0,0.0
274248000000,-9.5,-7.0,0.0
274284000000,-9.5,-8.0,0.0
274324000000,-9.5,-8.5,0.0
274365000000,-9.5,-10.5,0.0
274403000000,-9.5,-10.5,0.0
274444000000,-9.5,-11.5,0.0
274457000000,-9.5,-12.5,0.0
274492000000,-9.5,-12.5,0.0
274526000000,-9.5,-14.5,0.0
274559000000,-9.5,-15.0,0.0
274593000000,-9.5,-15.5,0.0
274600000000,-9.5,-15.5,0.0
274610000000,-9.5,-15.5,0.0
274650000000,-9.5,-15.5,0.0
274693000000,-9.5,-15.5,0.0
274740000000,-9.5,-14.5,0.0
274781000000,-9.5,-13.5,0.0
274788000000,-9.5,-13.5,0.0
274804000000,-9.5,-13.0,0.0
274834000000,-9.5,-12.0,0.0
274887000000,-9.5,-10.5,0.0
274927000000,-9.5,-9.5,0.0
274928000000,-9.5,-8.5,0.0
